   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
 232  T 0   4.089e-02   0e+00  0.95  1.0e-01  5.5e-05  8.4e-02  4.4e-01
 233  T 0   4.083e-02   0e+00  0.95  1.0e-01  5.4e-05  8.4e-02  4.4e-01
 234  T 0   4.078e-02   0e+00  0.96  1.0e-01  5.2e-05  8.7e-02  4.4e-01
 235  T 0   4.072e-02   0e+00  0.96  1.0e-01  5.1e-05  7.7e-02  4.3e-01
 236  T 0   4.067e-02   0e+00  0.96  1.0e-01  4.9e-05  8.4e-02  4.4e-01
 237  T 0   4.061e-02   0e+00  0.96  9.3e-02  5.0e-05  8.4e-02  4.5e-01
 238  T 0   4.055e-02   0e+00  0.96  1.0e-01  5.2e-05  1.0e-01  4.6e-01
 239  T 0   4.049e-02   0e+00  0.96  1.0e-01  1.4e-04  8.4e-02  4.7e-01
 240  T 0   4.044e-02   0e+00  0.96  1.0e-01  1.5e-04  8.4e-02  4.8e-01
 241  T 0   4.038e-02   0e+00  0.96  1.0e-01  1.6e-04  8.4e-02  4.8e-01
 242  T 0   4.033e-02   0e+00  0.96  1.0e-01  1.6e-04  8.4e-02  4.9e-01
 243  T 0   4.027e-02   0e+00  0.96  1.0e-01  1.8e-04  8.4e-02  4.9e-01
 244  T 0   4.022e-02   0e+00  0.97  1.0e-01  2.0e-04  8.4e-02  4.9e-01
 245  T 0   4.017e-02   0e+00  0.97  1.0e-01  2.2e-04  8.4e-02  5.1e-01
 246  T 0   4.012e-02   0e+00  0.97  1.0e-01  2.2e-04  8.4e-02  5.2e-01
 247  T 0   4.007e-02   0e+00  0.97  1.0e-01  2.4e-04  1.0e-01  5.4e-01
 248  T 0   4.001e-02   0e+00  0.97  1.0e-01  2.4e-04  8.4e-02  5.3e-01
 249  T 0   3.996e-02   0e+00  0.97  1.0e-01  2.5e-04  8.4e-02  5.2e-01
 250  T 0   3.990e-02   0e+00  0.97  1.0e-01  2.6e-04  9.0e-02  5.1e-01
 251  T 0   3.985e-02   0e+00  0.97  1.0e-01  2.6e-04  9.9e-02  5.1e-01
 252  T 0   3.979e-02   0e+00  0.97  1.0e-01  2.9e-04  8.7e-02  5.0e-01
 253  T 0   3.973e-02   0e+00  0.97  1.0e-01  3.0e-04  8.4e-02  4.8e-01
 254  T 0   3.967e-02   0e+00  0.97  1.0e-01  3.0e-04  8.9e-02  4.6e-01
 255  T 0   3.962e-02   0e+00  0.97  1.0e-01  3.2e-04  9.7e-02  4.4e-01
 256  T 0   3.957e-02   0e+00  0.98  1.0e-01  3.3e-04  1.0e-01  4.0e-01
 257  T 0   3.953e-02   0e+00  0.98  1.0e-01  3.1e-04  1.0e-01  3.8e-01
 258  T 0   3.948e-02   0e+00  0.98  1.0e-01  3.0e-04  8.0e-02  3.4e-01
 259  T 0   3.944e-02   0e+00  0.98  1.0e-01  3.4e-04  8.4e-02  3.1e-01
 260  T 0   3.940e-02   0e+00  0.98  9.7e-02  3.4e-04  8.4e-02  3.1e-01
 261  T 0   3.935e-02   0e+00  0.98  1.0e-01  3.5e-04  8.0e-02  2.8e-01
 262  T 0   3.930e-02   0e+00  0.98  1.0e-01  3.6e-04  8.8e-02  2.8e-01
 263  T 0   3.925e-02   0e+00  0.98  9.7e-02  3.2e-04  8.0e-02  2.9e-01
 264  T 0   3.920e-02   0e+00  0.97  1.0e-01  3.0e-04  8.8e-02  3.0e-01
 265  T 0   3.915e-02   0e+00  0.98  9.7e-02  2.6e-04  8.4e-02  2.8e-01
 266  T 0   3.911e-02   0e+00  0.98  1.0e-01  2.3e-04  9.3e-02  3.0e-01
 267  T 0   3.906e-02   0e+00  0.98  8.0e-02  2.1e-04  8.0e-02  3.0e-01
 268  T 0   3.901e-02   0e+00  0.98  8.8e-02  2.2e-04  8.8e-02  3.1e-01
